legislatura,partido,n_legisladores,disciplina_media,disciplina_std,dispersion_d1,dispersion_d2,centroide_d1,centroide_d2,n_votos_partido,n_votaciones,org_id,shapley_shubik,banzhaf_pct,n_calificadas
LX,MORENA,22,0.9235954545454544,0.08802785531687292,0.8768962050413613,0.31610485351630546,0.18574568181818182,0.07089522727272728,9751.0,664,O11,,,
LX,PAN,56,0.9175589285714285,0.0932944600845491,0.7553122732528216,0.41819363391346015,0.19454498214285715,-0.08910451785714286,24210.0,664,O12,0.0,0.0,67.0
LX,PRI,57,0.943680701754386,0.10360204327583175,0.6237948959544607,0.44328256791381676,0.45178005263157894,-0.18805998245614036,26014.0,664,O15,0.0,0.0,67.0
LX,PVEM,5,0.9296599999999999,0.03119395774825626,0.7682377584684965,0.3508903916773726,-0.07075119999999999,-0.426829,2116.0,664,O13,0.0,0.0,67.0
LXI,MC,3,0.9879333333333333,0.010623715608643457,0.564883028905395,0.3733250641737484,0.26988233333333334,0.5538756666666667,1298.0,842,O16,0.0,0.0,91.0
LXI,MORENA,28,0.9331370370370371,0.05631634650073534,0.7918005464512786,0.37823142071252047,-0.07505089285714285,0.02671128571428571,10094.0,842,O11,,,
LXI,PAN,61,0.9189,0.07903363208153855,0.7024561448305207,0.4969335667960555,-0.00995732786885246,-0.037633016393442624,26357.0,842,O12,0.0,0.0,91.0
LXI,PRI,62,0.942741935483871,0.08915100571021796,0.5910635790167984,0.5471106294157613,0.18310987096774195,-0.04921427419354839,28748.0,842,O15,0.0,0.0,91.0
LXI,PT,1,1.0,0.0,0.0,0.0,0.87043,0.049097,91.0,842,O14,0.0,0.0,91.0
LXI,PVEM,6,0.9603666666666667,0.021962847417096625,0.5451599458986937,0.3059993662357271,-0.3963486666666667,-0.5254383333333333,2400.0,842,O13,0.0,0.0,91.0
LXII,MORENA,22,0.9016863636363636,0.058277246196456696,0.16079169473970428,0.18424719071956552,0.6872411363636364,-0.39624236363636367,13082.0,836,O11,,,
LXII,PAN,49,0.9271632653061224,0.06073523378113382,0.23703484617568135,0.4153873242661723,0.10531563265306124,0.6535948979591837,23850.0,836,O12,0.0,0.0,121.0
LXII,PRI,61,0.9679868852459017,0.06732117912269468,0.16425900068272328,0.05722177325377125,-0.5382584754098361,-0.4987908360655738,37852.0,836,O15,0.0,0.0,121.0
LXII,PT,6,0.9112333333333332,0.03598942437253847,0.042416551531998296,0.05937678684048169,0.9729536666666667,0.009947499999999998,3604.0,836,O14,0.0,0.0,121.0
LXII,PVEM,8,0.9934875,0.010587652849293052,0.08091553918173834,0.012626362475279403,-0.54038725,-0.5002387500000001,4346.0,836,O13,0.0,0.0,121.0
LXIII,MORENA,21,0.8959523809523811,0.0686280089981315,0.13894659117683278,0.25314430504983104,-0.6530998095238095,-0.4877375238095238,6759.0,828,O11,0.0,0.0,36.0
LXIII,PAN,54,0.9295222222222222,0.0657287555654,0.49073925874726115,0.3985624653308327,0.08037366666666666,0.02359544444444444,21725.0,828,O12,0.0,0.0,36.0
LXIII,PRI,73,0.9646164383561644,0.049404908701516426,0.0881325523310576,0.06270169475758199,0.43297242465753427,-0.5275382602739725,31393.0,828,O15,0.0,0.0,36.0
LXIII,PT,15,0.9370466666666667,0.059044920752480155,0.10245197066811819,0.35352994911311797,-0.8574122666666667,-0.02866493333333333,4054.0,828,O14,0.0,0.0,36.0
LXIII,PVEM,8,0.9655875,0.02709683363157293,0.052651047882666634,0.017549109727113994,0.4257635,-0.52239125,3522.0,828,O13,0.0,0.0,36.0
LXIV,MC,12,0.9614833333333334,0.034805559465363727,0.0529152954884388,0.06625864624882757,-0.6768140833333334,-0.6972710000000001,4098.0,665,O16,0.0,0.0,83.0
LXIV,MORENA,95,0.9824810526315789,0.027609412112141275,0.3905356570971688,0.22445631385668177,0.31235664210526315,0.44217230526315787,35497.0,665,O11,0.0,0.0,83.0
LXIV,PAN,32,0.956315625,0.029560578690208356,0.07336526519464538,0.08905249637928779,-0.878216625,0.3517523125,11715.0,665,O12,0.0,0.0,83.0
LXIV,PRI,17,0.9600411764705882,0.03245123377514962,0.32559735909940574,0.215067318961481,-0.5420325882352941,-0.013003823529411766,5986.0,665,O15,0.0,0.0,83.0
LXIV,PT,7,0.9306142857142857,0.02335318883089476,0.09686585596390014,0.23658090572974136,0.8650724285714286,-0.10083128571428572,2771.0,665,O14,0.0,0.0,83.0
LXIV,PVEM,9,0.9357666666666667,0.03184627136730449,0.4266108059149007,0.18625233399797825,-0.037086111111111104,0.20621622222222222,3121.0,665,O13,0.0,0.0,83.0
LXV,MC,14,0.9510357142857143,0.06732100606157677,0.1254129050302714,0.2746895080977594,-0.6783621428571429,-0.18441628571428573,6570.0,841,O16,0.0,0.0,32.0
LXV,MORENA,95,0.9707336842105263,0.03739538204089271,0.4207076186104892,0.2771609069421535,0.40386744210526315,-0.06111251578947369,43410.0,841,O11,0.0,0.0,32.0
LXV,PAN,24,0.944425,0.047870561435749984,0.09967452416565811,0.1699782159364979,-0.8181102083333333,0.3123462083333333,12531.0,841,O12,0.0,0.0,32.0
LXV,PRI,12,0.94415,0.0484221305528033,0.23748672693301423,0.29488632956687605,-0.5172254166666667,-0.08490116666666665,5435.0,841,O15,0.0,0.0,32.0
LXV,PT,6,0.9542166666666666,0.05784045009045718,0.21306612538591552,0.42988626047707856,0.18221183333333332,-0.16920383333333333,2759.0,841,O14,0.0,0.0,32.0
LXV,PVEM,6,0.9387833333333333,0.052213156068817164,0.2033554426021099,0.22266007984766076,0.4600095,-0.22720816666666666,3221.0,841,O13,0.0,0.0,32.0
LXVI,MC,6,0.9838833333333333,0.013894375360794962,0.03167420062237829,0.15313713785710725,0.9629613333333333,-0.22875133333333333,1246.0,358,O16,0.0,0.0,67.0
LXVI,MORENA,78,0.9928820512820513,0.014700717745440257,0.33042445951334193,0.16310180584420025,-0.7342383974358975,-0.09775170512820514,19046.0,358,O11,0.0,0.0,67.0
LXVI,PAN,24,0.9747291666666666,0.0372774845107509,0.20699888559655483,0.15178787833483112,0.5882382916666666,0.3103507916666667,5569.0,358,O12,0.0,0.0,67.0
LXVI,PRI,16,0.991975,0.015124307146665183,0.08720300094186363,0.08051316833265539,0.44886075,-0.4437218125,3810.0,358,O15,0.0,0.0,67.0
LXVI,PT,7,0.9854428571428572,0.023134811946707554,0.07451152284362599,0.24219004033639133,-0.8138261428571428,-0.26286914285714286,1462.0,358,O14,0.0,0.0,67.0
LXVI,PVEM,15,0.98288,0.022266316649658467,0.08608446923989417,0.1386890614218247,-0.7880372,-0.14249373333333332,3766.0,358,O13,0.0,0.0,67.0
